state,party,pct
Alabama,D,25.3
Alabama,R,59.5
Alabama,D,26
Alabama,R,51
Alabama,D,38
Alabama,R,58
Alabama,D,42
Alabama,R,56
Alabama,D,28
Alabama,R,53
Alaska,D,25
Alaska,R,47
Alaska,R,4
Alaska,D,25
Alaska,R,51
Alaska,D,28.3
Alaska,R,43.1
Alaska,R,7.3
Alaska,D,29.1
Alaska,R,48.2
Alaska,D,46.6
Alaska,R,53.4
Alaska,R,52
Alaska,D,26
Alaska,R,49
Alaska,R,6
Alaska,D,26
Alaska,R,54
Alaska,D,41
Alaska,R,59
Alaska,R,50.2
Alaska,D,25.8
Alaska,R,43.5
Alaska,R,10.5
Alaska,D,26.4
Alaska,R,50.9
Alaska,D,24
Alaska,R,40
Alaska,R,5
Alaska,D,22
Alaska,R,43
Alaska,R,8
Alaska,D,24
Alaska,R,46
Alaska,R,49.5
Alaska,D,42.3
Alaska,R,42.5
Alaska,D,43.7
Alaska,R,48.3
Alaska,D,26.4
Alaska,R,43.4
Alaska,D,44.8
Alaska,R,51.7
Alaska,D,23
Alaska,R,43
Alaska,D,29
Alaska,R,44.4
Alaska,D,22.6
Alaska,R,46.5
Alaska,D,40.8
Alaska,R,54.5
Alaska,D,46.8
Alaska,R,49.9
Alaska,D,29
Alaska,R,44.4
Alaska,D,24
Alaska,R,36
Alaska,R,43
Alaska,D,46
Alaska,R,44
Alaska,D,22
Alaska,R,36
Alaska,D,28
Alaska,R,32
Alaska,R,40
Alaska,D,50
Alaska,R,41
Alaska,D,33
Alaska,R,38
Alaska,D,53
Alaska,R,42
Alaska,R,43.6
Alaska,R,47
Alaska,R,33
Arizona,D,46.9
Arizona,R,50.5
Arizona,D,49
Arizona,R,51
Arizona,D,46.6
Arizona,R,49.7
Arizona,D,48
Arizona,R,52
Arizona,D,45
Arizona,R,45
Arizona,D,48
Arizona,R,50
Arizona,D,45
Arizona,R,49
Arizona,D,48
Arizona,R,51
Arizona,D,46
Arizona,R,49
Arizona,D,45.2
Arizona,R,46.6
Arizona,D,48
Arizona,R,47
Arizona,D,48
Arizona,R,50
Arizona,D,46.7
Arizona,R,50.2
Arizona,D,46
Arizona,R,50
Arizona,D,42.3
Arizona,R,53.4
Arizona,D,46.8
Arizona,R,49.2
Arizona,D,46
Arizona,R,47
Arizona,D,48
Arizona,R,48
Arizona,D,47
Arizona,R,49
Arizona,D,47
Arizona,R,50
Arizona,D,40
Arizona,R,42
Arizona,D,44
Arizona,R,44
Arizona,D,43
Arizona,R,54
Arizona,D,45.3
Arizona,R,48.6
Arizona,D,44.2
Arizona,R,46.7
Arizona,D,47.9
Arizona,R,47.2
Arizona,D,46.4
Arizona,R,49.2
Arizona,D,46
Arizona,R,50
Arizona,D,45.8
Arizona,R,44.8
Arizona,D,47.5
Arizona,R,47.4
Arizona,D,45.6
Arizona,R,49.3
Arizona,D,45
Arizona,R,46
Arizona,D,43.96
Arizona,R,46.6
Arizona,D,49
Arizona,R,49
Arizona,D,49
Arizona,R,46
Arizona,D,49
Arizona,R,44
Arizona,D,44
Arizona,R,43
Arizona,D,46.2
Arizona,R,45.4
Arizona,D,45
Arizona,R,46
Arizona,D,47
Arizona,R,51
Arizona,D,45.6
Arizona,R,50
Arizona,D,49
Arizona,R,48
Arizona,D,49
Arizona,R,37
Arizona,D,53
Arizona,R,39
Arizona,D,44
Arizona,R,43
Arizona,D,46.1
Arizona,R,46.1
Arizona,D,50
Arizona,R,40
Arizona,D,45.8
Arizona,R,46.5
Arizona,D,44
Arizona,R,46
Arizona,D,47
Arizona,R,44
Arizona,D,43
Arizona,R,38
Arizona,D,49
Arizona,R,40
Arizona,D,42
Arizona,R,37
Arizona,D,48
Arizona,R,40
Arizona,D,47
Arizona,R,38
Arizona,D,44
Arizona,R,39
Arizona,D,50
Arizona,R,45
Arizona,D,47
Arizona,R,46
Arizona,D,41.4
Arizona,R,42.7
Arizona,D,41.6
Arizona,R,37.1
Arizona,D,40.7
Arizona,R,39.3
Arizona,D,41
Arizona,R,39.1
Arizona,D,39
Arizona,R,34
Arizona,D,40
Arizona,R,31
Arizona,D,41
Arizona,R,37
Arizona,D,43
Arizona,R,35
Arizona,D,38.5
Arizona,R,52.8
Arizona,D,37.4
Arizona,R,54.9
Arizona,D,36.3
Arizona,R,56.7
Arizona,D,40.2
Arizona,R,55.3
Arizona,D,39
Arizona,R,54
Arizona,D,36.5
Arizona,R,56.4
Arizona,D,40
Arizona,R,53
Arizona,D,35.7
Arizona,R,56.8
Arizona,D,35
Arizona,R,56
Arizona,D,37.3
Arizona,R,54.3
Arizona,D,36
Arizona,R,56
Arizona,D,46
Arizona,R,54
Arizona,D,34.8
Arizona,R,57
Arizona,D,37
Arizona,R,55
Arizona,D,35
Arizona,R,54
Arizona,D,43
Arizona,R,52
Arizona,D,45
Arizona,R,52
Arizona,D,35.3
Arizona,R,54.8
Arizona,D,42
Arizona,R,55
Arizona,D,41
Arizona,R,55
Arizona,D,40
Arizona,R,54
Arizona,D,38
Arizona,R,54
Arizona,D,41
Arizona,R,52
Arizona,D,37
Arizona,R,57
Arizona,D,33
Arizona,R,42
Arizona,D,39
Arizona,R,57
Arizona,D,39.6
Arizona,R,47.2
Arizona,D,37
Arizona,R,54
Arizona,D,33.56
Arizona,R,52.13
Arizona,D,35.02
Arizona,R,50.65
Arizona,D,37
Arizona,R,55
Arizona,D,35
Arizona,R,54
Arizona,D,43
Arizona,R,57
Arizona,D,38
Arizona,R,49.6
Arizona,D,40
Arizona,R,45
Arizona,D,37
Arizona,R,41
Arizona,D,38.3
Arizona,R,41.9
Arizona,D,42
Arizona,R,51
Arizona,D,37
Arizona,R,48
Arizona,D,43
Arizona,R,51
Arizona,D,39
Arizona,R,49
Arizona,D,46
Arizona,R,49
Arizona,D,45
Arizona,R,48
Arizona,D,39.1
Arizona,R,50.7
Arizona,D,33
Arizona,R,41
Arizona,D,48
Arizona,R,49
Arizona,D,40
Arizona,R,51
Arizona,D,39
Arizona,R,49
Arizona,D,44
Arizona,R,48
Arizona,D,41
Arizona,R,48.8
Arizona,D,43
Arizona,R,44
Arizona,D,42
Arizona,R,41
Arizona,D,43
Arizona,R,42
Arizona,D,44
Arizona,R,42
Arkansas,D,33.9
Arkansas,R,53
Arkansas,D,41
Arkansas,R,51
Arkansas,D,34
Arkansas,R,59
Arkansas,D,40
Arkansas,R,51
Arkansas,D,32
Arkansas,R,62
Arkansas,D,28
Arkansas,R,58
Arkansas,D,35
Arkansas,R,59
Arkansas,D,24
Arkansas,R,60
Arkansas,D,25
Arkansas,R,60
Arkansas,D,24
Arkansas,R,63
California,D,60
California,R,40
California,D,62
California,R,38
California,D,58
California,R,37
California,D,61
California,R,39
California,D,56
California,R,37
California,D,55
California,R,36
California,D,57
California,R,35
California,D,53
California,R,32
California,D,58
California,R,31
California,D,52
California,R,25
California,D,55
California,R,31
California,D,9.5
California,R,41
California,R,3.8
California,R,3.6
California,D,3.6
California,R,2.7
California,D,1.3
California,D,1.2
California,R,0.9
California,D,5.8
California,R,29.9
California,D,6.2
California,R,4.1
California,R,3.6
California,D,3.4
California,R,3.1
California,R,1.6
California,R,0.6
California,D,6
California,R,22
California,R,3
California,D,4
California,R,7
California,R,4
California,D,3
California,D,2
California,R,1
California,D,5
California,D,9
California,R,29
California,R,8
California,R,6
California,D,4
California,D,4
California,D,4
California,D,3
California,R,3
California,D,2
California,D,2
California,D,2
California,R,2
California,D,1
California,D,0
California,R,4
California,D,1
California,R,39
California,R,5
California,R,1
California,R,1
California,R,2
California,D,2
California,D,5
California,D,0
California,D,2
California,D,1
California,D,10
California,R,38
California,R,8
California,R,4
California,R,4
California,D,4
California,D,2
California,D,2
California,D,1
California,D,1
California,R,1
California,D,1
California,D,1
California,D,1
California,D,52
California,R,30
California,D,51
California,R,26
California,D,50
California,R,25
California,D,49
California,R,27
California,D,13.4
California,R,32.4
California,R,3.6
California,R,3.5
California,D,2.8
California,R,2.7
California,R,1.3
California,D,6
California,R,20
California,R,4
California,R,4
California,D,2
California,R,2
California,D,2
California,D,1
California,D,1
California,D,1
California,R,1
California,R,1
California,R,1
California,R,1
California,D,1
California,D,1
California,R,1
California,R,1
California,R,1
California,D,1
California,R,1
California,R,1
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,D,22
California,R,29.2
California,R,4.1
California,R,4.1
California,R,1.1
California,R,0.2
California,R,26
California,R,5
California,R,1
California,R,3
California,R,3
California,D,6
California,R,27
California,R,6
California,D,5
California,D,5
California,R,5
California,D,5
California,R,5
California,D,3
California,D,2
California,D,2
California,R,2
California,D,12
California,R,21
California,R,5
California,R,4
California,R,3
California,R,3
California,R,1
California,D,13
California,R,12
California,R,13
California,R,7
California,R,2
California,R,3
California,R,3
California,D,6
California,R,27
California,D,5
California,R,4
California,R,3
California,D,3
California,D,3
California,R,2
California,D,2
California,R,1
California,R,1
California,D,13
California,R,3
California,R,23
California,R,3
California,R,2
California,R,2
California,R,3
California,R,2
California,D,27
California,R,23
California,R,10
California,R,5
California,R,4
California,R,4
California,R,3
California,D,1.3
California,R,6.6
California,R,4.8
California,R,22.5
California,R,7.4
California,R,3.8
California,D,1
California,R,1
California,R,4
California,D,0
California,R,9
California,R,3
California,R,0
California,R,1
California,R,1
California,R,0
California,R,1
California,R,2
California,R,0
California,D,1
California,R,0
California,R,1
California,R,1
California,R,0
California,D,3
California,R,0
California,R,0
California,R,1
California,D,2
California,D,1
California,D,2
California,R,0
California,R,1
California,R,0
California,R,1
California,D,0
California,D,1
California,R,1
California,R,0
California,D,1
California,R,1
California,R,4
California,D,0
California,R,10
California,R,3
California,R,0
California,R,1
California,R,0
California,R,0
California,R,1
California,R,2
California,R,0
California,D,1
California,R,0
California,R,1
California,R,1
California,R,0
California,D,3
California,R,0
California,R,0
California,R,1
California,D,3
California,D,1
California,D,2
California,R,0
California,R,1
California,R,0
California,R,1
California,D,0
California,D,1
California,R,1
California,R,0
California,D,3
California,R,18
California,R,10
California,R,10
California,R,5
California,R,3
California,D,2
California,D,1
California,D,1
California,D,1
California,D,1
California,R,1
California,R,0
California,D,0
California,D,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,D,5
California,R,12
California,R,8
California,R,7
California,R,3
California,R,2
California,D,2
California,D,2
California,D,2
California,D,2
California,R,1
California,D,1
California,D,1
California,R,0
California,D,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,0
California,R,16
California,R,6
California,R,6
California,R,4
California,R,4
California,D,2
California,D,9
California,R,16
