GUBERNATORIAL National Summary 2023
,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,20231014,General,Louisiana,"547,827","Landry, Jeff",Challenger,"275,525","Wilson, Shawn D.",Challenger,Republican,"62,287","Waguespack, Stephen",Challenger,"176,859","272,302",R,5.86,66.54,33.46,"The other vote was: Schroder, John (Republican) 56,654; Lundy, Hunter (Independent) 52,165; Cole, Daniel M. (Democrat) 27,662; Hewitt, Sharon W. (Republican) 18,468; Barnes, Benjamin (Independent) 5,190; Barthel, Patrick Henry (Republican) 4,426; Nelson, Richard (Republican) 3,605; Istre, Jeffery (Independent) 3,400; Ellis, Xavier (Republican) 1,734; Gagnon, ""Keitron"" (No Party) 1,260; John, Xan (Republican) 1,164; Scurlock, Frank (Independent) 1,131"
Governor,N/A,20231107,General,Kentucky,"627,457","Cameron, Daniel",Challenger,"694,482","Beshear, Andy",Incumbent,Write-in,83,"Fishback, Brian",Challenger,N/A,"67,025",D,.01,47.46,52.54,
Governor,N/A,20231107,General,Mississippi,"418,233","Reeves, Tate",Incumbent,"391,614","Presley, Brandon",Challenger,Independent,"11,153","Gray, Gwendolyn",Challenger,N/A,"26,619",R,1.36,51.64,48.36,
,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,United States,"3,205,520","1,593,517","1,361,621","73,523","176,859","231,896",R,49.71,42.48,2.29,5.52,53.92,46.08
,
,
,
GUBERNATORIAL National Summary 2022
,
Office,CensusPop,raceYear,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,20221108,General,Alabama,"946,932","Ivey, Kay",Incumbent,"412,961","Flowers, Yolanda Rochelle",Challenger,Libertarian,"45,958","Blake, Jimmy",Challenger,"9,432","533,971",R,3.25,69.63,30.37,"The other vote was: Write-In (Write-in) 9,432"
Governor,N/A,20221108,General,Arizona,"1,270,774","Lake, Kari",Challenger,"1,287,891","Hobbs, Katie",Challenger,Write-in,353,Write-In,Challenger,467,"17,117",D,.01,49.67,50.33,"The other vote was: West, Liana (Write-in) 254; Lutes-Burton, Mikaela Shonnie (Write-in) 213"
Governor,N/A,20221108,General,Arkansas,"571,105","Huckabee Sanders, Sarah",Challenger,"319,242","Jones, Chris",Challenger,Libertarian,"16,690","Harrington, Ricky Dale Jr",Challenger,N/A,"251,863",R,1.84,64.14,35.86,
Governor,N/A,20221108,General,California,"4,462,910","Dahle, Brian",Challenger,"6,470,099","Newsom, Gavin",Incumbent,N/A,N/A,N/A,N/A,N/A,"2,007,189",D,.00,40.82,59.18,
Governor,N/A,20221108,General,Colorado,"983,040","Ganahl, Heidi",Challenger,"1,468,481","Polis, Jared",Incumbent,Libertarian,"28,939","Ruskusky, Kevin",Challenger,"28,310","485,441",D,1.15,40.10,59.90,"The other vote was: Neuschwanger, Danielle (American Constitution) 21,623; Fiorino, Paul Noel (Unity) 6,687"
Governor,N/A,20221108,General,Connecticut,"546,209","Stefanowski, Bob",Challenger,"710,191","Lamont, Ned",Incumbent,Independent,"12,400","Hotaling, Robert",Challenger,98,"163,982",D,.98,43.47,56.53,"The other vote was: Bicking, Michelle Louise (Write-in) 98"
Governor,N/A,20221108,General,Georgia,"2,111,572","Kemp, Brian",Incumbent,"1,813,673","Abrams, Stacey",Challenger,Libertarian,"28,163","Hazel, Shane",Challenger,N/A,"297,899",R,.71,53.79,46.21,
Governor,N/A,20221108,General,Hawaii,"152,237","Aiona, Duke",Challenger,"261,025","Green, Josh",Challenger,N/A,N/A,N/A,N/A,N/A,"108,788",D,.00,36.84,63.16,
Governor,N/A,20221108,General,Idaho,"358,598","Little, Brad",Incumbent,"120,160","Heidt, Stephen",Challenger,Independent,"101,835","Bundy, Ammon",Challenger,"12,031","238,438",R,17.18,74.90,25.10,"The other vote was: Sand, Paul (Libertarian) 6,714; Davison, Chantyrose (Constitution) 5,250; Write-In (Write-in) 67"
Governor,N/A,20221108,General,Illinois,"1,739,095","Bailey, Darren",Challenger,"2,253,748","Pritzker, Jay",Incumbent,Libertarian,"111,850","Schluter, Scott",Challenger,81,"514,653",D,2.72,43.56,56.44,"The other vote was: Johnson, Emily (Independent) 28; Horton, Shon-Tiyon (Independent) 28; Sebesta, Elizabeth Ann (Independent) 18; Kinney, Michael (Write-in) 7"
Governor,N/A,20221108,General,Kansas,"477,591","Schmidt, Derek",Challenger,"499,849","Kelly, Laura",Incumbent,Independent,"20,452","Pyle, Dennis",Challenger,"11,106","22,258",D,2.03,48.86,51.14,"The other vote was: Cordell, Seth (Libertarian) 11,106"
Governor,N/A,20221108,General,Maryland,"644,000","Cox, Dan",Challenger,"1,293,944","Moore, Wes",Challenger,Libertarian,"30,101","Lashar, David",Challenger,"37,178","649,944",D,1.50,33.23,66.77,"The other vote was: Harding, David (Working Class) 17,154; Wallace, Nancy (Green) 14,580; Write-In (Write-in) 5,444"
Governor,N/A,20221108,General,Massachusetts,"859,343","Diehl, Geoff ",Challenger,"1,584,403","Healey, Maura",Challenger,Libertarian,"39,244","Reed, Kevin",Challenger,"2,806","725,060",D,1.58,35.16,64.84,"The other vote was: Write-In (Write-in) 2,806"
Governor,N/A,20221108,General,Michigan,"1,960,635","Dixon, Tudor",Challenger,"2,430,305","Whitmer, Gretchen",Incumbent,Libertarian,"38,800","Buzuma, Mary",Challenger,"32,032","469,670",D,.87,44.65,55.35,"The other vote was: Brandenburg, Donna (U.S. Taxpayers) 16,246; Hogan, Kevin (Green) 10,766; Simpson, Daryl M. (Natural Law) 4,973; Write-In (Write-in) 47"
Governor,N/A,20221108,General,Minnesota,"1,119,941","Jensen, Scott",Challenger,"1,312,349","Walz, Timothy J.",Incumbent,Legal Marijuana Now,"29,346","McCaskel, James",Challenger,"49,025","192,408",D,1.17,46.04,53.96,"The other vote was: Patterson, Steve (Grassroots - Legalize Cannabis) 22,599; McTavish, Hugh (Independence-Alliance) 18,156; Prosser, Gabrielle M. (Socialist Workers Party) 7,241; Write-In (Write-in) 1,029"
Governor,N/A,20221108,General,Nebraska,"398,334","Pillen, Jim",Challenger,"242,006","Blood, Carol",Challenger,Libertarian,"26,455","Zimmerman, Scott",Challenger,"5,798","156,328",R,3.93,62.21,37.79,"The other vote was: Scattered Write-Ins (Write-in) 5,798"
Governor,N/A,20221108,General,Nevada,"497,377","Lombardo, Joe",Challenger,"481,991","Sisolak, Steve",Incumbent,Libertarian,"14,919","Davis, Brandon",Challenger,"24,784","15,386",R,1.46,50.79,49.21,"The other vote was: ""None of These Candidates"" (Other) 14,866; Bridges, Ed (Independent American) 9,918"
Governor,N/A,20221108,General,New Hampshire,"352,813","Sununu, Chris",Incumbent,"256,766","Sherman, Tom",Challenger,Libertarian,"5,071","Halldorson, Kelly",Challenger,"4,485","96,047",R,.82,57.88,42.12,"The other vote was: Borysenko, Karlyn (Libertarian) 2,772; Scattered Write-Ins (Write-in) 1,713"
Governor,N/A,20221108,General,New Mexico,"324,701","Ronchetti, Mark V.",Challenger,"370,168","Grisham, Michelle Lujan",Incumbent,Libertarian,"17,387","Bedonie, Karen E.",Challenger,N/A,"45,467",D,2.44,46.73,53.27,
Governor,N/A,20221108,General,New York,"2,762,581","Zeldin, Lee M.",Challenger,"3,140,415","Hochul, Kathy Courtney",Incumbent,Write-in,"9,290",Scattered Write-Ins,Challenger,N/A,"377,834",D,.16,46.80,53.20,
Governor,N/A,20221108,General,Oklahoma,"639,484","Stitt, Kevin",Incumbent,"481,904","Hofmeister, Joy",Challenger,Libertarian,"16,243","Bruno, Natalie",Challenger,"15,653","157,580",R,1.41,57.03,42.97,"The other vote was: Yen, Ervin Stone (Independent) 15,653"
Governor,N/A,20221108,General,Ohio,"2,580,424","DeWine, Michael",Incumbent,"1,545,489","Whaley, Nan",Challenger,Write-in,"8,082","Usher, Marshall",Challenger,882,"1,034,935",R,.20,62.54,37.46,"The other vote was: Grady, Timothy (Write-in) 574; Turner, Renea (Write-in) 231; Patton, Craig (Write-in) 77"
