STATE,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4
AL,212297.4,212991,214826.3,218310.5,221086.3,223366.2,224329.3,226655.5,228676.3,230521.9,233042,234007.4,234320.7,214635.2,236544.9,238067.4
AK,52670.5,52777.7,53574.5,54183.3,54440.2,54658.8,55240.4,55259,54461.6,54522.3,55034.3,54894.8,53160.4,46625.7,49944.3,52170.4
AZ,325087.6,328113.1,335355.4,339451,346180.3,349910.3,354074.3,357353.1,362999.7,368600.6,376051.7,381922,381906.7,359842.4,388675.6,397864.4
AR,121021.2,121582.9,122631.3,124631.5,125956.8,126813,128112.5,129260.4,129821.1,130447.7,132373.8,133670.4,135166.1,126007.4,136709.3,137993.6
CA,2649399.8,2697330.3,2754033.6,2814208.6,2830221,2887010.8,2923407.4,2948163.4,2970816.1,3028633.1,3062616.7,3108710.4,3074465.6,2812435.1,3060840.2,3132952.5
CO,341504.7,344869.7,351408.9,358842.9,364680.8,370341.1,374417.1,379409.2,383635.8,391635.4,400464.2,402403.5,402456.2,365841.6,396054.4,400700.9
CT,265793.3,271098.7,273548.5,275332.4,276984.1,277263.6,282713.3,282730.9,285862.9,287992.4,289500.6,290789.4,283711.4,258117.7,279345,283718.9
DE,68920.6,67272.1,68239.5,68778,70079.8,71404.5,73282.9,73906.1,75305.1,76538.4,77601.1,78250.2,77057.9,72058.6,77085.3,77072.6
FL,988504.8,994557.3,1005736.2,1023777.7,1040339.7,1050300.7,1065465.5,1072915.7,1091751.1,1103391.1,1118430,1131996.7,1132228.4,1042523.5,1139712.2,1152442.9
GA,565025.7,567705.6,575199.6,587177.7,588903.4,598823.2,607713.2,614025.7,623908.2,636074.5,644267.5,647719.7,638859.7,586832.9,634613.1,641397.1
HI,86118.7,86674,87763.7,88313.3,89058.4,90420.1,90735.7,91109,90973.6,91422.9,92524.2,92730.1,89334.1,77205.2,80577.1,83025.6
