STATE,Democrat,Republican,Other
AL,"729,547","1,318,255","75,570"
AK,"116,454","163,387","38,767"
AZ,"1,161,167","1,252,401","159,597"
AR,"380,494","684,872","65,310"
CA,"8,753,792","4,483,814","943,998"
CO,"1,338,870","1,202,484","238,893"
CT,"897,572","673,215","74,133"
DE,"235,603","185,127","23,084"
DC,"282,830","12,723","15,715"
FL,"4,504,975","4,617,886","297,178"
GA,"1,877,963","2,089,104","147,665"
HI,"266,891","128,847","33,199"
ID,"189,765","409,055","91,435"
IL,"3,090,729","2,146,015","299,680"
IN,"1,033,126","1,557,286","144,546"
IA,"653,669","800,983","111,379"
KS,"427,005","671,018","86,379"
KY,"628,854","1,202,971","92,324"
LA,"780,154","1,178,638","70,240"
ME,"357,735","335,593","54,599"
MD,"1,677,928","943,169","160,349"
MA,"1,995,196","1,090,893","238,957"
MI,"2,268,839","2,279,543","250,902"
MN,"1,367,716","1,322,951","254,146"
MS,"485,131","700,714","23,512"
MO,"1,071,068","1,594,511","143,026"
MT,"177,709","279,240","40,198"
NE,"284,494","495,961","63,772"
NV,"539,260","512,058","74,067"
NH,"348,526","345,790","49,980"
NJ,"2,148,278","1,601,933","123,835"
NM,"385,234","319,667","93,418"
NY,"4,556,118","2,819,533","345,791"
NC,"2,189,316","2,362,631","189,617"
ND,"93,758","216,794","33,808"
OH,"2,394,164","2,841,005","261,318"
OK,"420,375","949,136","83,481"
OR,"1,002,106","782,403","216,827"
PA,"2,926,441","2,970,733","268,304"
RI,"252,525","180,543","31,076"
SC,"855,373","1,155,389","92,265"
SD,"117,458","227,721","24,914"
TN,"870,695","1,522,925","114,407"
TX,"3,877,868","4,685,047","406,311"
UT,"310,676","515,231","305,523"
VT,"178,573","95,369","41,125"
VA,"1,981,473","1,769,443","233,715"
WA,"1,742,718","1,221,747","352,554"
WV,"188,794","489,371","36,258"
WI,"1,382,536","1,405,284","188,330"
WY,"55,973","174,419","25,457"
